title,studio,foreign_gross,year,original_language,popularity,release_date,vote_count,production_budget,domestic_gross,worldwide_gross,vote_average,start_year,runtime_minutes,genres,averagerating,numvotes,profit,profit_margin,release_month,release_month_name,release_quarter
the kids are all right,Focus,13900000.0,2010,en,8.426,2010-07-09,854,4000000.0,20811365.0,36275469.0,6.6,2010,106.0,"Comedy,Drama,Romance",7.0,120656,32275469.0,8.06886725,7,July,3
you will meet a tall dark stranger,SPC,31000000.0,2010,en,6.209,2010-05-23,431,15000000.0,3247816.0,34247816.0,5.8,2010,98.0,"Comedy,Drama,Romance",6.3,41608,19247816.0,1.2831877333333332,5,May,2
leap year,Uni.,6700000.0,2010,en,11.821,2010-01-08,990,19000000.0,25918920.0,32618920.0,6.7,2010,100.0,"Comedy,Romance",6.5,86125,13618920.0,0.7167852631578947,1,January,1
leap year,Uni.,6700000.0,2010,en,11.821,2010-01-08,990,19000000.0,25918920.0,32618920.0,6.7,2010,94.0,"Drama,Romance",5.9,2211,13618920.0,0.7167852631578947,1,January,1
you again,BV,6300000.0,2010,en,10.208,2010-09-24,734,20000000.0,25702053.0,32838945.0,6.2,2010,105.0,"Comedy,Family,Romance",5.8,46690,12838945.0,0.64194725,9,September,3
the losers,WB,5800000.0,2010,en,10.202,2010-04-23,844,25000000.0,23591432.0,29863840.0,6.2,2010,97.0,"Action,Adventure,Crime",6.4,83876,4863840.0,0.1945536,4,April,2
the losers,WB,5800000.0,2010,en,10.202,2010-04-23,844,25000000.0,23591432.0,29863840.0,6.2,2013,112.0,Drama,1.7,70,4863840.0,0.1945536,4,April,2
ramona and beezus,Fox,1100000.0,2010,en,7.442,2010-07-23,460,15000000.0,26167002.0,27469621.0,6.3,2010,103.0,"Adventure,Comedy,Family",6.6,16086,12469621.0,0.8313080666666667,7,July,3
let me in,Over.,12000000.0,2010,en,9.716,2010-10-01,1061,20000000.0,12134935.0,28270399.0,6.7,2010,116.0,"Drama,Fantasy,Horror",7.1,107012,8270399.0,0.41351995,10,October,4
let me in,Over.,12000000.0,2010,en,9.716,2010-10-01,1061,20000000.0,12134935.0,28270399.0,6.7,2017,74.0,Horror,5.1,7,8270399.0,0.41351995,10,October,4
just wright,FoxS,29900.0,2010,en,7.047,2010-05-14,211,12000000.0,21540363.0,21867665.0,6.2,2010,100.0,"Comedy,Romance,Sport",5.9,12466,9867665.0,0.8223054166666667,5,May,2
our family wedding,FoxS,1200000.0,2010,en,5.025,2010-03-12,57,14000000.0,20255281.0,21410546.0,5.5,2010,103.0,"Comedy,Romance",4.9,6417,7410546.0,0.5293247142857143,3,March,1
my soul to take,Uni.,6200000.0,2010,en,9.808,2010-10-08,247,25000000.0,14744435.0,16727470.0,5.4,2010,107.0,"Horror,Mystery,Thriller",4.8,18381,-8272530.0,-0.3309012,10,October,4
country strong,SGem,310000.0,2010,en,7.567,2010-12-22,126,15000000.0,20218921.0,20601987.0,6.3,2010,117.0,"Drama,Music",6.3,16296,5601987.0,0.3734658,12,December,4
another year,SPC,16500000.0,2010,en,9.394,2010-12-29,150,8000000.0,3205706.0,20005613.0,7.0,2010,129.0,"Comedy,Drama",7.3,26273,12005613.0,1.500701625,12,December,4
another year,SPC,16500000.0,2010,en,9.394,2010-12-29,150,8000000.0,3205706.0,20005613.0,7.0,2014,107.0,"Drama,Romance",6.6,294,12005613.0,1.500701625,12,December,4
another year,SPC,16500000.0,2010,en,9.394,2010-12-29,150,8000000.0,3205706.0,20005613.0,7.0,2016,181.0,Documentary,7.2,40,12005613.0,1.500701625,12,December,4
buried,LGF,18100000.0,2010,en,10.888,2010-09-24,1487,1987650.0,1044143.0,21270290.0,6.6,2010,95.0,"Drama,Mystery,Thriller",7.0,139426,19282640.0,9.701225064774986,9,September,3
buried,LGF,18100000.0,2010,en,10.888,2010-09-24,1487,1987650.0,1044143.0,21270290.0,6.6,2011,95.0,Thriller,6.0,5,19282640.0,9.701225064774986,9,September,3
repo men,Uni.,4600000.0,2010,en,12.437,2010-03-19,976,32000000.0,13942007.0,18195238.0,6.2,2010,111.0,"Action,Crime,Sci-Fi",6.3,96144,-13804762.0,-0.4313988125,3,March,1
the nutcracker in 3d,Free,16000000.0,2010,en,7.566,2010-11-24,97,90000000.0,195459.0,20466016.0,5.5,2010,110.0,"Action,Family,Fantasy",4.3,3119,-69533984.0,-0.7725998222222222,11,November,4
sea rex 3d journey to a prehistoric world,3D,9900000.0,2010,en,2.746,2010-05-14,12,5000000.0,6096582.0,16515203.0,7.4,2010,41.0,Documentary,6.9,364,11515203.0,2.3030406,5,May,2
extraordinary measures,CBS,3100000.0,2010,en,6.3,2010-01-21,153,31000000.0,12482741.0,15826984.0,6.3,2010,106.0,Drama,6.5,15673,-15173016.0,-0.48945212903225804,1,January,1
